     [java] ########## Client Send Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 12046	 36752	 3	 334	 12047	 6
     [java] 12093	 39851	 3	 310	 12094	 6
     [java] 12093	 1755814	 145	 6	 12094	 6
     [java] 12088	 36746	 3	 335	 12089	 6
     [java] 12008	 36558	 3	 333	 12009	 6
     [java] 12087	 37101	 3	 326	 12088	 6
     [java] 12086	 1758474	 145	 6	 12087	 6
     [java] 12096	 1760651	 145	 6	 12097	 6
     [java] 12034	 37230	 3	 325	 12035	 6
     [java] 12076	 36581	 3	 335	 12077	 6
     [java] 12075	 1757861	 145	 6	 12076	 6
     [java] 12038	 36681	 3	 334	 12039	 6
     [java] 12046	 1760307	 146	 6	 12047	 6
     [java] 12107	 36701	 3	 336	 12108	 6
     [java] 12106	 1757712	 145	 6	 12107	 6
     [java] 12087	 1759846	 145	 6	 12088	 6
     [java] 12007	 1757811	 146	 6	 12008	 6
     [java] 12033	 1757567	 146	 6	 12034	 6
     [java] 12037	 1759806	 146	 6	 12038	 6


BUILD SUCCESSFUL
Total time: 30 minutes 5 seconds
