
     [java] ########## Client Send Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 22887	 66421	 2	 346	 22888	 12
     [java] 22887	 1730174	 75	 13	 22888	 12
     [java] 22929	 65545	 2	 352	 22930	 12
     [java] 22897	 65741	 2	 352	 22898	 12
     [java] 22897	 1730717	 75	 13	 22898	 12
     [java] 22937	 65679	 2	 352	 22938	 12
     [java] 22937	 1730894	 75	 13	 22938	 12
     [java] 22929	 1730774	 75	 13	 22930	 12
     [java] 22903	 65565	 2	 352	 22904	 12
     [java] 22903	 1730681	 75	 13	 22904	 12

BUILD SUCCESSFUL
Total time: 30 minutes 2 seconds
