Buildfile: /Volumes/Macintosh HD/Dropbox/workspace/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Throughput
     [java] Nov 01, 2014 10:26:54 PM main.java.ch.ethz.systems.asl.service.db.DBService getConnection
     [java] INFO: DBCP borrow connection time: 78 ms.
     [java] 1000	 4588	 4	 250
     [java] 2000	 8381	 4	 250
     [java] 3000	 12117	 4	 250
     [java] 4000	 15937	 3	 266
     [java] 5000	 19862	 3	 263
     [java] 6000	 23767	 3	 260
     [java] 7000	 27743	 3	 259
     [java] 8000	 31810	 3	 258
     [java] 9000	 36168	 4	 250
     [java] 10000	 40525	 4	 250
     [java] 11000	 45086	 4	 244
     [java] 12000	 49568	 4	 244
     [java] 13000	 54165	 4	 240
     [java] 14000	 58849	 4	 241
     [java] 15000	 63025	 4	 238
     [java] 16000	 67413	 4	 238
     [java] 17000	 72017	 4	 236
     [java] 18000	 76658	 4	 236
     [java] 19000	 81565	 4	 234
     [java] 20000	 86494	 4	 232
     [java] 21000	 91410	 4	 230
     [java] 22000	 96470	 4	 229
     [java] 23000	 101647	 4	 227
     [java] 24000	 106696	 4	 226
     [java] 25000	 111824	 4	 225
     [java] 26000	 116911	 4	 224
     [java] 27000	 122099	 4	 221
     [java] 28000	 127368	 4	 220
     [java] 29000	 132733	 4	 219
     [java] 30000	 138135	 4	 217
     [java] 31000	 143719	 4	 216
     [java] 32000	 149389	 4	 214
     [java] 33000	 155047	 4	 212
     [java] 34000	 160825	 4	 212
     [java] 35000	 165890	 4	 212
     [java] 36000	 171499	 4	 210
     [java] 37000	 177264	 4	 209
     [java] 38000	 183188	 4	 207
     [java] 39000	 189210	 4	 206
     [java] 40000	 195263	 4	 205
     [java] 41000	 201344	 4	 203
     [java] 42000	 207507	 4	 202
     [java] 43000	 213550	 4	 201
     [java] 44000	 219243	 4	 200
     [java] 45000	 225347	 5	 200
     [java] 46000	 231821	 5	 199
     [java] 47000	 238214	 5	 197
     [java] 48000	 244601	 5	 196
     [java] 49000	 251192	 5	 195
     [java] 50000	 257830	 5	 194
     [java] 51000	 264661	 5	 193
     [java] 52000	 270760	 5	 192
     [java] 53000	 277386	 5	 191
     [java] 54000	 284162	 5	 190
     [java] 55000	 291008	 5	 189
     [java] 56000	 297984	 5	 188
     [java] 57000	 305049	 5	 186
     [java] 58000	 312137	 5	 185
     [java] 59000	 319243	 5	 184
     [java] 60000	 326406	 5	 184
     [java] 61000	 333601	 5	 183
     [java] 62000	 340851	 5	 182
     [java] 63000	 348290	 5	 181
     [java] 64000	 355697	 5	 180
     [java] 65000	 363233	 5	 179
     [java] 66000	 370755	 5	 178
     [java] 67000	 377611	 5	 177
     [java] 68000	 384961	 5	 177
     [java] 69000	 392404	 5	 176
     [java] 70000	 399984	 5	 175
     [java] 71000	 407645	 5	 174
     [java] 72000	 415412	 5	 173
     [java] 73000	 423451	 5	 172
     [java] 74000	 431414	 5	 171
     [java] 75000	 439456	 5	 170
     [java] 76000	 447544	 5	 170
     [java] 77000	 455760	 5	 169
     [java] 78000	 464005	 5	 168
     [java] 79000	 472300	 5	 167
     [java] 80000	 480494	 6	 166
     [java] 81000	 488146	 6	 165
     [java] 82000	 496167	 6	 165
     [java] 83000	 504403	 6	 164
     [java] 84000	 512829	 6	 164
     [java] 85000	 521390	 6	 163
     [java] 86000	 530008	 6	 162
     [java] 87000	 538767	 6	 161
     [java] 88000	 547555	 6	 160
     [java] 89000	 556463	 6	 160
     [java] 90000	 565454	 6	 159
     [java] 91000	 574450	 6	 158
     [java] 92000	 583522	 6	 157
     [java] 93000	 592623	 6	 157
     [java] 94000	 601917	 6	 156
     [java] 95000	 611125	 6	 155
     [java] 96000	 620481	 6	 154
     [java] 97000	 629989	 6	 154
     [java] 98000	 639503	 6	 153
     [java] 99000	 648132	 6	 152
     [java] 100000	 656836	 6	 152
     [java] 101000	 665947	 6	 151
     [java] 102000	 675227	 6	 151
     [java] 103000	 684789	 6	 150
     [java] 104000	 694351	 6	 149
     [java] 105000	 703960	 6	 149
     [java] 106000	 713705	 6	 148
     [java] 107000	 723608	 6	 147
     [java] 108000	 733493	 6	 147
     [java] 109000	 743531	 6	 146
     [java] 110000	 753649	 6	 146
     [java] 111000	 763793	 6	 145
     [java] 112000	 2248398	 20	 49
