Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Tput	 Recv#
     [java] 1000	 50169	 50	 20	 995
     [java] 2000	 99958	 49	 20	 1996
     [java] 3000	 149317	 49	 20	 2995
     [java] 4000	 199553	 49	 20	 3995
     [java] 5000	 248626	 49	 20	 4995
     [java] 6000	 297880	 49	 20	 5996
     [java] 7000	 347764	 49	 20	 6996
     [java] 8000	 397948	 49	 20	 7996
     [java] 9000	 448460	 49	 20	 8995
     [java] 10000	 499814	 49	 20	 9995
     [java] 11000	 551463	 50	 19	 10995
     [java] 12000	 604018	 50	 19	 11995
     [java] 13000	 657020	 50	 19	 12995
     [java] 14000	 709021	 50	 19	 13995
     [java] 15000	 763053	 50	 19	 14995
     [java] 16000	 816116	 51	 19	 15995
     [java] 17000	 869109	 51	 19	 16995
     [java] 18000	 922890	 51	 19	 17997
     [java] 19000	 975614	 51	 19	 18995
     [java] 20000	 1029156	 51	 19	 19995
     [java] 21000	 1083185	 51	 19	 20995
     [java] 22000	 1137637	 51	 19	 21996
     [java] 23000	 1193748	 51	 19	 22995
     [java] 24000	 1248833	 52	 19	 23995
     [java] 25000	 1305308	 52	 19	 24995
     [java] 26000	 1364008	 52	 19	 25995
     [java] 27000	 1421313	 52	 19	 26995
     [java] 28000	 1479189	 52	 18	 27995
     [java] 29000	 1536660	 52	 18	 28995
     [java] 30000	 1594153	 53	 18	 29995
     [java] 31000	 1653268	 53	 18	 30996
     [java] 32000	 1711762	 53	 18	 31995
     [java] 33000	 1772616	 53	 18	 32995
     [java] 34000	 1831935	 53	 18	 33995
     [java] 35000	 1891663	 54	 18	 34995
     [java] 36000	 1952704	 54	 18	 35995
     [java] 37000	 2016378	 54	 18	 36995
     [java] 38000	 2081916	 54	 18	 37995
     [java] 39000	 2143780	 54	 18	 38996
     [java] 40000	 2209753	 55	 18	 39995
     [java] 41000	 2276899	 55	 18	 40996
     [java] 42000	 2346395	 55	 17	 41995
     [java] 43000	 2411913	 56	 17	 42995
     [java] 44000	 2481656	 56	 17	 43995
     [java] 45000	 2550329	 56	 17	 44995
     [java] 46000	 2617103	 56	 17	 45995
     [java] 47000	 2688572	 57	 17	 46995
     [java] 48000	 2761842	 57	 17	 47996
     [java] 49000	 2826749	 57	 17	 48995
     [java] 50000	 2897608	 57	 17	 49995
     [java] 51000	 2972066	 58	 17	 50995
     [java] 52000	 3044276	 58	 17	 51995
     [java] 53000	 3118841	 58	 16	 52995
     [java] 54000	 3193003	 59	 16	 53995
     [java] 55000	 3269367	 59	 16	 54995
     [java] 56000	 3346637	 59	 16	 55995
     [java] 57000	 3429400	 60	 16	 56995
     [java] 58000	 3509741	 60	 16	 57995
     [java] 59000	 3591784	 60	 16	 58996
     [java] 60000	 3671300	 61	 16	 59995
     [java] 61000	 3752461	 61	 16	 60995
     [java] 62000	 3835426	 61	 16	 61995
     [java] 63000	 3919013	 62	 16	 62995
     [java] 64000	 4002385	 62	 15	 63995
     [java] 65000	 4093563	 62	 15	 64995
     [java] 66000	 4181569	 63	 15	 65995
     [java] 67000	 4268519	 63	 15	 66995
     [java] 68000	 4357431	 64	 15	 67995
     [java] 69000	 4446445	 64	 15	 68995
     [java] 70000	 4537129	 64	 15	 69995
     [java] 71000	 4629874	 65	 15	 70995
     [java] 72000	 4726288	 65	 15	 71995
     [java] 73000	 4820248	 66	 15	 72995
     [java] 74000	 4914643	 66	 15	 73995
     [java] 75000	 5032982	 67	 14	 74997
