Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Tput	 Recv#
     [java] 1000	 49252	 49	 20	 1000
     [java] 2000	 97432	 48	 20	 2000
     [java] 3000	 145268	 48	 20	 3000
     [java] 4000	 192981	 48	 20	 4000
     [java] 5000	 240972	 48	 20	 5000
     [java] 6000	 288938	 48	 20	 6000
     [java] 7000	 336902	 48	 20	 7000
     [java] 8000	 384736	 48	 20	 8000
     [java] 9000	 432733	 48	 20	 9000
     [java] 10000	 480727	 48	 20	 10000
     [java] 11000	 528971	 48	 20	 11000
     [java] 12000	 577183	 48	 20	 12000
     [java] 13000	 625478	 48	 20	 13000
     [java] 14000	 673702	 48	 20	 14000
     [java] 15000	 721588	 48	 20	 15000
     [java] 16000	 770065	 48	 20	 16000
     [java] 17000	 818651	 48	 20	 17000
     [java] 18000	 866968	 48	 20	 18000
     [java] 19000	 915117	 48	 20	 19000
     [java] 20000	 963481	 48	 20	 20000
     [java] 21000	 1011838	 48	 20	 21000
     [java] 22000	 1060238	 48	 20	 22000
     [java] 23000	 1108564	 48	 20	 23000
     [java] 24000	 1156915	 48	 20	 24000
     [java] 25000	 1206730	 48	 20	 25000
     [java] 26000	 1256766	 48	 20	 26000
     [java] 27000	 1305927	 48	 20	 27000
     [java] 28000	 1354421	 48	 20	 28000
     [java] 29000	 1402977	 48	 20	 29000
     [java] 30000	 1451697	 48	 20	 30000
     [java] 31000	 1500427	 48	 20	 31000
     [java] 32000	 1549464	 48	 20	 32000
     [java] 33000	 1598978	 48	 20	 33000
     [java] 34000	 1648387	 48	 20	 34000
     [java] 35000	 1697591	 48	 20	 35000
     [java] 36000	 1746990	 48	 20	 36000
     [java] 37000	 1795983	 48	 20	 37000
     [java] 38000	 1845097	 48	 20	 38000
