Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:
    [javac] Compiling 1 source file to /home/ec2-user/ASL-MQ/bin

jar:
      [jar] Building jar: /home/ec2-user/ASL-MQ/ASL-MQ.jar

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Tput	 Recv#
     [java] 1000	 48410	 48	 20	 1000
     [java] 2000	 95736	 47	 21	 2000
     [java] 3000	 142645	 47	 21	 3000
     [java] 4000	 189673	 47	 21	 4000
     [java] 5000	 236682	 47	 21	 5000
     [java] 6000	 283590	 47	 21	 6000
     [java] 7000	 330594	 47	 21	 7000
     [java] 8000	 377833	 47	 21	 8000
     [java] 9000	 425141	 47	 21	 9000
     [java] 10000	 472421	 47	 21	 10000
     [java] 11000	 519765	 47	 21	 11000
     [java] 12000	 566966	 47	 21	 12000
     [java] 13000	 614086	 47	 21	 13000
     [java] 14000	 661647	 47	 21	 14000
     [java] 15000	 709131	 47	 21	 15000
     [java] 16000	 756591	 47	 21	 16000
     [java] 17000	 804204	 47	 21	 17000
     [java] 18000	 851748	 47	 21	 18000
     [java] 19000	 899428	 47	 21	 19000
     [java] 20000	 947238	 47	 21	 20000
     [java] 21000	 995072	 47	 21	 21000
     [java] 22000	 1042882	 47	 21	 22000
     [java] 23000	 1090977	 47	 21	 23000
     [java] 24000	 1138896	 47	 21	 24000
     [java] 25000	 1186940	 47	 21	 25000
     [java] 26000	 1234862	 47	 21	 26000
     [java] 27000	 1282978	 47	 21	 27000
     [java] 28000	 1331140	 47	 21	 28000
     [java] 29000	 1379400	 47	 21	 29000
     [java] 30000	 1427662	 47	 21	 30000
     [java] 31000	 1475938	 47	 21	 31000
     [java] 32000	 1524259	 47	 20	 32000
     [java] 33000	 1572631	 47	 20	 33000
     [java] 34000	 1621258	 47	 20	 34000
     [java] 35000	 1669865	 47	 20	 35000
     [java] 36000	 1718174	 47	 20	 36000
     [java] 37000	 1766587	 47	 20	 37000
     [java] 38000	 1815110	 47	 20	 38000
     [java] 39000	 1863503	 47	 20	 39000
     [java] 40000	 1912163	 47	 20	 40000
