Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 1000	 27213	 27	 37	 992	 142
     [java] 2000	 44616	 22	 45	 1993	 222
     [java] 3000	 61051	 20	 49	 2993	 272
     [java] 4000	 76965	 19	 52	 3992	 307
     [java] 5000	 93376	 18	 53	 4994	 333
     [java] 6000	 108977	 18	 55	 5995	 352
     [java] 7000	 125044	 17	 56	 6992	 368
     [java] 8000	 140931	 17	 57	 7992	 380
     [java] 9000	 156707	 17	 57	 8996	 391
     [java] 10000	 172356	 17	 58	 9992	 400
     [java] 11000	 188846	 17	 58	 10992	 407
     [java] 12000	 204950	 17	 58	 11994	 413
     [java] 13000	 220430	 16	 59	 12992	 419
     [java] 14000	 235955	 16	 59	 13992	 437
     [java] 15000	 252313	 16	 59	 14992	 441
     [java] 16000	 271954	 16	 59	 15992	 432
     [java] 17000	 288145	 16	 59	 16992	 435
     [java] 18000	 304440	 16	 59	 17992	 439
     [java] 19000	 320362	 16	 59	 18992	 441
     [java] 20000	 336317	 16	 59	 19993	 454
     [java] 21000	 352880	 16	 59	 20992	 456
     [java] 22000	 373122	 16	 58	 21992	 448
     [java] 23000	 389130	 16	 59	 22992	 450
     [java] 24000	 405272	 16	 59	 23992	 452
     [java] 25000	 423643	 16	 59	 24992	 454
     [java] 26000	 440280	 16	 59	 25992	 456
     [java] 27000	 456093	 16	 59	 26992	 457
     [java] 28000	 474114	 16	 59	 27992	 459
     [java] 29000	 490932	 16	 59	 28992	 460
     [java] 30000	 506846	 16	 59	 29992	 461
     [java] 31000	 525733	 16	 59	 30992	 462
     [java] 32000	 542270	 16	 59	 31992	 463
     [java] 33000	 558217	 16	 59	 32992	 464
     [java] 34000	 574842	 16	 59	 33992	 465
     [java] 35000	 591440	 16	 59	 34992	 466
     [java] 36000	 608162	 16	 59	 35992	 467
     [java] 37000	 624779	 16	 59	 36992	 468
     [java] 38000	 646501	 17	 58	 37992	 469
     [java] 39000	 662731	 16	 58	 38993	 469
     [java] 40000	 679200	 16	 58	 39992	 470
     [java] 41000	 695267	 16	 58	 40992	 471
     [java] 42000	 712461	 16	 58	 41992	 471
     [java] 43000	 729436	 16	 58	 42992	 472
     [java] 44000	 746773	 16	 58	 43992	 473
     [java] 45000	 762840	 16	 59	 44992	 473
     [java] 46000	 781274	 16	 58	 45992	 474
     [java] 47000	 797544	 16	 58	 46992	 474
     [java] 48000	 813739	 16	 59	 47992	 475
     [java] 49000	 829842	 16	 59	 48992	 475
     [java] 50000	 845871	 16	 59	 49992	 476
     [java] 51000	 862673	 16	 59	 50992	 476
     [java] 52000	 879324	 16	 59	 51992	 477
     [java] 53000	 900165	 16	 58	 52995	 473
     [java] 54000	 914863	 16	 59	 53992	 473
     [java] 55000	 930753	 16	 59	 54992	 474
     [java] 56000	 946679	 16	 59	 55992	 478
     [java] 57000	 964078	 16	 59	 56992	 478
     [java] 58000	 981418	 16	 59	 57992	 475
     [java] 59000	 998001	 16	 59	 58991	 475
     [java] 60000	 1013952	 16	 59	 59992	 480
     [java] 61000	 1030334	 16	 59	 60992	 480
     [java] 62000	 1047140	 16	 59	 61992	 480
     [java] 63000	 1063256	 16	 59	 62992	 477
     [java] 64000	 1079124	 16	 59	 63992	 477
     [java] 65000	 1095172	 16	 59	 64992	 477
     [java] 66000	 1111908	 16	 59	 65992	 478
     [java] 67000	 1130732	 16	 59	 66992	 478
     [java] 68000	 1146636	 16	 59	 67992	 478
     [java] 69000	 1162534	 16	 59	 68992	 479
     [java] 70000	 1178444	 16	 59	 69992	 479
     [java] 71000	 1194393	 16	 59	 70992	 479
     [java] 72000	 1211222	 16	 59	 71992	 480
     [java] 73000	 1228306	 16	 59	 72992	 480
     [java] 74000	 1245194	 16	 59	 73992	 480
     [java] 75000	 1262035	 16	 59	 74992	 480
     [java] 76000	 1280358	 16	 59	 75992	 481
     [java] 77000	 1297760	 16	 59	 76992	 481
     [java] 78000	 1320215	 16	 59	 77991	 481
     [java] 79000	 1338650	 16	 59	 78992	 478
     [java] 80000	 1356694	 16	 58	 79992	 479
     [java] 81000	 1376507	 16	 58	 80992	 479
     [java] 82000	 1392780	 16	 58	 81992	 479
     [java] 83000	 1409249	 16	 58	 82992	 479
     [java] 84000	 1425785	 16	 58	 83992	 480
     [java] 85000	 1442151	 16	 58	 84992	 480
     [java] 86000	 1457992	 16	 59	 85992	 480
     [java] 87000	 1475038	 16	 58	 86992	 480
     [java] 88000	 1491929	 16	 59	 87992	 480
     [java] 89000	 1507949	 16	 59	 88992	 481
     [java] 90000	 1524757	 16	 59	 89992	 481
     [java] 91000	 1540972	 16	 59	 90993	 481
     [java] 92000	 1557150	 16	 59	 91992	 481
     [java] 93000	 1572884	 16	 59	 92992	 481
     [java] 94000	 1596074	 16	 58	 93992	 482
     [java] 95000	 1612493	 16	 58	 94992	 482
     [java] 96000	 1628739	 16	 58	 95992	 482
     [java] 97000	 1644435	 16	 59	 96993	 482
     [java] 98000	 1660325	 16	 59	 97992	 482
     [java] 99000	 1676113	 16	 59	 98992	 482
     [java] 100000	 1691843	 16	 59	 99992	 483
     [java] 101000	 1708199	 16	 59	 100992	 483
     [java] 102000	 1724812	 16	 59	 101992	 485
     [java] 103000	 1743660	 16	 59	 102992	 483
     [java] 104000	 1760626	 16	 59	 103992	 483
     [java] 105000	 1777857	 16	 59	 104992	 483
     [java] 106000	 1795437	 16	 59	 105992	 484
     [java] 107000	 1816379	 16	 58	 106992	 484
     [java] 108000	 1834278	 16	 58	 107992	 484
     [java] 109000	 1852035	 16	 58	 108992	 484
     [java] 110000	 1871462	 17	 58	 109991	 482
     [java] 111000	 1890964	 17	 58	 110992	 482
     [java] 112000	 1910465	 17	 58	 111992	 482
     [java] 113000	 1930273	 17	 58	 112992	 482
     [java] 114000	 1947470	 17	 58	 113992	 481
     [java] 115000	 1964373	 17	 58	 114992	 481
     [java] 116000	 1982842	 17	 58	 115992	 481
     [java] 117000	 2000588	 17	 58	 116993	 481
     [java] 118000	 2016623	 17	 58	 117992	 481
     [java] 119000	 2032557	 17	 58	 118992	 481
     [java] 120000	 2059412	 17	 58	 119992	 480
     [java] 121000	 2075742	 17	 58	 120992	 480
     [java] 122000	 2092165	 17	 58	 121992	 480
     [java] 123000	 2108152	 17	 58	 122992	 482
     [java] 124000	 2124971	 17	 58	 123992	 482
     [java] 125000	 2141681	 17	 58	 124992	 482
     [java] 126000	 2157709	 17	 58	 125992	 482
     [java] 127000	 2174218	 17	 58	 126993	 482
     [java] 128000	 2190268	 17	 58	 127992	 483
     [java] 129000	 2206383	 17	 58	 128993	 483
     [java] 130000	 2222959	 17	 58	 129992	 483
     [java] 131000	 2239239	 17	 58	 130993	 483
     [java] 132000	 2260837	 17	 58	 131993	 483
     [java] 133000	 2277467	 17	 58	 132992	 483
     [java] 134000	 2294219	 17	 58	 133992	 483
     [java] 135000	 2311463	 17	 58	 134992	 483
     [java] 136000	 2328740	 17	 58	 135992	 483
     [java] 137000	 2346359	 17	 58	 136992	 482
     [java] 138000	 2364570	 17	 58	 137991	 482
     [java] 139000	 2386688	 17	 58	 138992	 482
     [java] 140000	 2405070	 17	 58	 139992	 482
     [java] 141000	 2428562	 17	 58	 140992	 481
     [java] 142000	 2446603	 17	 58	 141992	 481
     [java] 143000	 2462599	 17	 58	 142992	 481
     [java] 144000	 2485764	 17	 57	 143993	 480
     [java] 145000	 2502869	 17	 57	 144992	 480
     [java] 146000	 2518987	 17	 57	 145992	 480
     [java] 147000	 2534756	 17	 58	 146992	 480
     [java] 148000	 2550680	 17	 58	 147993	 480
     [java] 149000	 2567459	 17	 58	 148992	 480
     [java] 150000	 2583613	 17	 58	 149992	 482
     [java] 151000	 2599431	 17	 58	 150992	 482
     [java] 152000	 2616344	 17	 58	 151992	 482
     [java] 153000	 2632996	 17	 58	 152992	 482
     [java] 154000	 2649841	 17	 58	 153993	 482
     [java] 155000	 2671093	 17	 58	 154992	 481
     [java] 156000	 2687253	 17	 58	 155992	 481
     [java] 157000	 2703424	 17	 58	 156993	 481
     [java] 158000	 2720580	 17	 58	 157992	 481
     [java] 159000	 2736944	 17	 58	 158992	 481
