Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 1000	 53066	 53	 18	 991	 100
     [java] 2000	 102543	 51	 19	 1992	 133
     [java] 3000	 152027	 50	 19	 2992	 142
     [java] 4000	 201432	 50	 19	 3991	 153
     [java] 5000	 250497	 50	 20	 4991	 161
     [java] 6000	 300168	 50	 20	 5991	 166
     [java] 7000	 349906	 49	 20	 6992	 166
     [java] 8000	 399322	 49	 20	 7992	 170
     [java] 9000	 448237	 49	 20	 8992	 173
     [java] 10000	 496963	 49	 20	 9992	 175
     [java] 11000	 545867	 49	 20	 10992	 174
     [java] 12000	 594889	 49	 20	 11991	 176
     [java] 13000	 644192	 49	 20	 12991	 178
     [java] 14000	 693973	 49	 20	 13991	 179
     [java] 15000	 743153	 49	 20	 14992	 178
     [java] 16000	 791599	 49	 20	 15992	 179
     [java] 17000	 839857	 49	 20	 16991	 180
     [java] 18000	 888757	 49	 20	 17992	 181
     [java] 19000	 937443	 49	 20	 18991	 182
     [java] 20000	 987191	 49	 20	 19992	 183
     [java] 21000	 1036014	 49	 20	 20991	 182
     [java] 22000	 1084741	 49	 20	 21992	 183
     [java] 23000	 1133613	 49	 20	 22991	 184
     [java] 24000	 1182338	 49	 20	 23991	 184
     [java] 25000	 1232636	 49	 20	 24992	 183
     [java] 26000	 1281853	 49	 20	 25992	 184
     [java] 27000	 1331127	 49	 20	 26991	 184
     [java] 28000	 1380443	 49	 20	 27992	 185
     [java] 29000	 1429325	 49	 20	 28991	 184
     [java] 30000	 1479016	 49	 20	 29991	 185
     [java] 31000	 1528097	 49	 20	 30992	 185
     [java] 32000	 1577214	 49	 20	 31992	 186
     [java] 33000	 1626305	 49	 20	 32991	 186
     [java] 34000	 1675385	 49	 20	 33992	 185
     [java] 35000	 1724192	 49	 20	 34992	 186
     [java] 36000	 1773094	 49	 20	 35992	 186
     [java] 37000	 1822449	 49	 20	 36992	 186
     [java] 38000	 1871464	 49	 20	 37992	 187
     [java] 39000	 1920263	 49	 20	 38991	 186
     [java] 40000	 1968949	 49	 20	 39991	 186
     [java] 41000	 2018199	 49	 20	 40991	 187
     [java] 42000	 2065969	 49	 20	 41992	 187
     [java] 43000	 2114697	 49	 20	 42992	 187
     [java] 44000	 2162962	 49	 20	 43992	 188
     [java] 45000	 2211213	 49	 20	 44992	 187
     [java] 46000	 2258855	 49	 20	 45992	 187
     [java] 47000	 2306836	 49	 20	 46992	 188
     [java] 48000	 2356390	 49	 20	 47992	 188
     [java] 49000	 2404643	 49	 20	 48992	 188
     [java] 50000	 2453520	 49	 20	 49991	 188
     [java] 51000	 2502349	 49	 20	 50991	 188
     [java] 52000	 2551760	 49	 20	 51991	 188
     [java] 53000	 2600635	 49	 20	 52991	 188
     [java] 54000	 2649534	 49	 20	 53991	 188
     [java] 55000	 2697868	 49	 20	 54992	 189
     [java] 56000	 2746032	 49	 20	 55992	 188
     [java] 57000	 2794590	 49	 20	 56992	 188
     [java] 58000	 2843271	 49	 20	 57992	 188
     [java] 59000	 2891905	 49	 20	 58991	 189
     [java] 60000	 2940527	 49	 20	 59991	 189
     [java] 61000	 2989438	 49	 20	 60992	 188
     [java] 62000	 3038039	 49	 20	 61992	 189
     [java] 63000	 3086244	 48	 20	 62991	 189
     [java] 64000	 3134720	 48	 20	 63991	 189
     [java] 65000	 3183273	 48	 20	 64992	 189
     [java] 66000	 3231787	 48	 20	 65992	 189
     [java] 67000	 3282212	 48	 20	 66992	 189
     [java] 68000	 3330617	 48	 20	 67991	 189
     [java] 69000	 3378598	 48	 20	 68991	 189
     [java] 70000	 3426138	 48	 20	 69992	 189
     [java] 71000	 3473793	 48	 20	 70991	 189
     [java] 72000	 3521617	 48	 20	 71991	 189
     [java] 73000	 3572321	 48	 20	 72991	 189
     [java] 74000	 3620921	 48	 20	 73992	 189
     [java] 75000	 3669296	 48	 20	 74992	 189
     [java] 76000	 3718976	 48	 20	 75991	 190
     [java] 77000	 3767086	 48	 20	 76992	 190
     [java] 78000	 3815652	 48	 20	 77993	 189
     [java] 79000	 3863748	 48	 20	 78991	 189
     [java] 80000	 3911898	 48	 20	 79991	 190
     [java] 81000	 3959107	 48	 20	 80991	 190
     [java] 82000	 4006793	 48	 20	 81992	 190
     [java] 83000	 4054409	 48	 20	 82991	 190
     [java] 84000	 4103559	 48	 20	 83991	 190
     [java] 85000	 4152730	 48	 20	 84991	 190
     [java] 86000	 4201381	 48	 20	 85992	 190
     [java] 87000	 4250862	 48	 20	 86992	 190
     [java] 88000	 4298864	 48	 20	 87992	 190
     [java] 89000	 4346773	 48	 20	 88991	 190
     [java] 90000	 4396639	 48	 20	 89992	 190
     [java] 91000	 4444494	 48	 20	 90992	 190
     [java] 92000	 4492936	 48	 20	 91991	 190
     [java] 93000	 4540616	 48	 20	 92991	 190
     [java] 94000	 4588786	 48	 20	 93991	 190
     [java] 95000	 4636854	 48	 20	 94991	 190
     [java] 96000	 4685558	 48	 20	 95992	 190
     [java] 97000	 4733690	 48	 20	 96991	 190
     [java] 98000	 4781770	 48	 20	 97991	 190
     [java] 99000	 4829909	 48	 20	 98991	 190
     [java] 100000	 4878100	 48	 20	 99991	 190
     [java] 101000	 4926169	 48	 20	 100991	 190
     [java] 102000	 4974498	 48	 20	 101991	 190
     [java] 103000	 5023490	 48	 20	 102991	 190
     [java] 104000	 5071566	 48	 20	 103992	 190
     [java] 105000	 5119427	 48	 20	 104991	 190
     [java] 106000	 5166845	 48	 20	 105991	 190
     [java] 107000	 5216213	 48	 20	 106992	 191
     [java] 108000	 5264447	 48	 20	 107991	 191
     [java] 109000	 5315070	 48	 20	 108992	 190
     [java] 110000	 5362925	 48	 20	 109991	 190
     [java] 111000	 5411803	 48	 20	 110992	 191
     [java] 112000	 5459412	 48	 20	 111991	 191
     [java] 113000	 5507648	 48	 20	 112992	 191
     [java] 114000	 5556017	 48	 20	 113991	 191
     [java] 115000	 5604718	 48	 20	 114992	 191
     [java] 116000	 5652898	 48	 20	 115992	 191
     [java] 117000	 5700751	 48	 20	 116991	 191
     [java] 118000	 5748828	 48	 20	 117992	 191
     [java] 119000	 5797709	 48	 20	 118992	 191
     [java] 120000	 5846184	 48	 20	 119992	 191
     [java] 121000	 5894708	 48	 20	 120992	 191
     [java] 122000	 5943575	 48	 20	 121991	 191
     [java] 123000	 5992532	 48	 20	 122992	 191
     [java] 124000	 6040841	 48	 20	 123992	 191
     [java] 125000	 6088925	 48	 20	 124991	 191
     [java] 126000	 6138141	 48	 20	 125992	 191
     [java] 127000	 6186473	 48	 20	 126991	 191
     [java] 128000	 6236979	 48	 20	 127991	 191
     [java] 129000	 6285105	 48	 20	 128991	 191
     [java] 130000	 6333175	 48	 20	 129992	 191
     [java] 131000	 6381680	 48	 20	 130993	 191
     [java] 132000	 6429905	 48	 20	 131992	 191
     [java] 133000	 6478276	 48	 20	 132992	 191
     [java] 134000	 6526751	 48	 20	 133992	 191
     [java] 135000	 6575123	 48	 20	 134991	 191
     [java] 136000	 6623212	 48	 20	 135992	 191
     [java] 137000	 6671340	 48	 20	 136991	 191
     [java] 138000	 6719541	 48	 20	 137992	 191
     [java] 139000	 6767976	 48	 20	 138992	 191
     [java] 140000	 6817020	 48	 20	 139991	 191
     [java] 141000	 6865542	 48	 20	 140991	 191
     [java] 142000	 6914534	 48	 20	 141992	 191
     [java] 143000	 6963505	 48	 20	 142991	 191
     [java] 144000	 7012215	 48	 20	 143991	 191
     [java] 145000	 7064464	 48	 20	 144991	 191
     [java] 146000	 7114096	 48	 20	 145991	 191
     [java] 147000	 7161943	 48	 20	 146992	 191
     [java] 148000	 7209954	 48	 20	 147992	 191
     [java] 149000	 7257272	 48	 20	 148992	 191
     [java] 150000	 7305061	 48	 20	 149991	 191
     [java] 151000	 7352938	 48	 20	 150991	 191
     [java] 152000	 7402279	 48	 20	 151992	 191
     [java] 153000	 7450119	 48	 20	 152991	 191
     [java] 154000	 7498894	 48	 20	 153992	 191
     [java] 155000	 7547640	 48	 20	 154991	 191
     [java] 156000	 7595984	 48	 20	 155992	 191
     [java] 157000	 7645031	 48	 20	 156992	 191
     [java] 158000	 7694201	 48	 20	 157992	 191
     [java] 159000	 7744675	 48	 20	 158992	 191
     [java] 160000	 7793367	 48	 20	 159991	 191
     [java] 161000	 7844172	 48	 20	 160991	 191
     [java] 162000	 7893540	 48	 20	 161993	 191
