Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 1000	 505445	 505	 1	 969	      32
     [java] 2000	 1198389	 599	 1	 1969	 37
     [java] 3000	 1888694	 629	 1	 2969	 38
     [java] 4000	 2580811	 645	 1	 3969	 39
     [java] 5000	 3274767	 654	 1	 4969	 40
     [java] 6000	 3964979	 660	 1	 5969	 40
     [java] 7000	 4658072	 665	 1	 6969	 41
     [java] 8000	 5351000	 668	 1	 7969	 41
     [java] 9000	 6040352	 671	 1	 8969	 41
     [java] 10000	 6733884	 673	 1	 9970	 41
     [java] 11000	 7425359	 675	 1	 10969	 41
     [java] 12000	 8114465	 676	 1	 11969	 41
     [java] 13000	 8808426	 677	 1	 12970	 42
     [java] 14000	 9500079	 678	 1	 13969	 42
     [java] 15000	 10190510	 679	 1	 14969	 42
     [java] 16000	 10883655	 680	 1	 15970	 42
     [java] 17000	 11575175	 680	 1	 16969	 42
     [java] 18000	 12267003	 681	 1	 17969	 42
     [java] 19000	 12961350	 682	 1	 18969	 42
     [java] 20000	 13655839	 682	 1	 19969	 42
     [java] 21000	 14347306	 683	 1	 20969	 42
     [java] 22000	 15040221	 683	 1	 21969	 42
     [java] 23000	 15734971	 684	 1	 22969	 42
     [java] 24000	 16426824	 684	 1	 23969	 42
     [java] 25000	 17119149	 684	 1	 24969	 42
     [java] 26000	 17812618	 685	 1	 25969	 42
     [java] 27000	 18505317	 685	 1	 26970	 42
     [java] 28000	 19198695	 685	 1	 27969	 42
     [java] 29000	 19891893	 685	 1	 28969	 42
     [java] 30000	 20583228	 686	 1	 29969	 42
     [java] 31000	 21277769	 686	 1	 30971	 42
     [java] 32000	 21970701	 686	 1	 31969	 42
     [java] 33000	 22661742	 686	 1	 32969	 42
     [java] 34000	 23353759	 686	 1	 33969	 42
     [java] 35000	 24045369	 687	 1	 34969	 42
     [java] 36000	 24737114	 687	 1	 35969	 42
     [java] 37000	 25428706	 687	 1	 36969	 42
     [java] 38000	 26120973	 687	 1	 37969	 42
     [java] 39000	 26813679	 687	 1	 38971	 42
     [java] 40000	 27504168	 687	 1	 39969	 42
     [java] 41000	 28197733	 687	 1	 40969	 42
     [java] 42000	 28889493	 687	 1	 41969	 42
     [java] 43000	 29581270	 687	 1	 42969	 42
     [java] 44000	 30275041	 688	 1	 43969	 42
     [java] 45000	 30966952	 688	 1	 44969	 42
     [java] 46000	 31661236	 688	 1	 45969	 42
     [java] 47000	 32354697	 688	 1	 46969	 42
     [java] 48000	 33046067	 688	 1	 47969	 42
     [java] 49000	 33739785	 688	 1	 48969	 42
     [java] 50000	 34432043	 688	 1	 49969	 42
     [java] 51000	 35123500	 688	 1	 50969	 42
     [java] 52000	 35816463	 688	 1	 51969	 42
     [java] 53000	 36509451	 688	 1	 52970	 42
     [java] 54000	 37199927	 688	 1	 53969	 42
     [java] 55000	 37891571	 688	 1	 54969	 42
     [java] 56000	 38583776	 688	 1	 55969	 42
     [java] 57000	 39276192	 689	 1	 56970	 42
     [java] 58000	 39968201	 689	 1	 57970	 42
     [java] 59000	 40660338	 689	 1	 58969	 42
     [java] 60000	 41351881	 689	 1	 59969	 42
     [java] 61000	 42044442	 689	 1	 60969	 42
     [java] 62000	 42736511	 689	 1	 61969	 42
     [java] 63000	 43427265	 689	 1	 62969	 42
     [java] 64000	 44119124	 689	 1	 63969	 42
     [java] 65000	 44811253	 689	 1	 64969	 42
     [java] 66000	 45502146	 689	 1	 65969	 42
     [java] 67000	 46195591	 689	 1	 66969	 42
     [java] 68000	 46887575	 689	 1	 67969	 42
     [java] 69000	 47578886	 689	 1	 68969	 42
     [java] 70000	 48272342	 689	 1	 69969	 42
     [java] 71000	 48965403	 689	 1	 70969	 42
     [java] 72000	 49656755	 689	 1	 71969	 42
     [java] 73000	 50350070	 689	 1	 72969	 42
     [java] 74000	 51042025	 689	 1	 73969	 42
     [java] 75000	 51733610	 689	 1	 74969	 42
     [java] 76000	 52425625	 689	 1	 75969	 42
     [java] 77000	 53117194	 689	 1	 76969	 42
     [java] 77278	 53309870	 689	 1	 77247	 42
     [java] Message server shutdown

BUILD SUCCESSFUL
Total time: 30 minutes 1 second
